type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.04,0.5,0.05,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.05_cabs120k08_150K.txt,0.149760007858,78,3.77382802963
cmine,0.04,0.5,0.1,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.1_cabs120k08_150K.txt,0.145336151123,233,11.6478052139
cmine,0.04,0.5,0.15,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.15_cabs120k08_150K.txt,0.138940095901,507,27.6421711445
cmine,0.04,0.5,0.2,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.2_cabs120k08_150K.txt,0.149265050888,942,54.5289480686
cmine,0.04,0.5,0.25,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.25_cabs120k08_150K.txt,0.144104003906,1486,89.2824430466
cmine,0.04,0.5,0.3,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.3_cabs120k08_150K.txt,0.156308889389,2058,125.862858057
cmine,0.04,0.5,0.35,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.35_cabs120k08_150K.txt,0.148235082626,2661,169.30141902
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_150K.txt,0.145110845566,3250,211.759585857
cmine,0.04,0.5,0.45,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.45_cabs120k08_150K.txt,0.137096881866,3783,243.833801031
cmine,0.04,0.5,0.5,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.5_cabs120k08_150K.txt,0.150785923004,4038,272.202763796
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_105K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_105K.txt,0.127665996552,3269,176.910265923
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_110K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_110K.txt,0.12272810936,3277,189.159203053
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_115K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_115K.txt,0.126270055771,3278,194.77772212
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_120K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_120K.txt,0.135663986206,5624,362.918132067
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_125K.txt,0.154127120972,3250,211.854984045
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_130K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_130K.txt,0.144255876541,3269,219.393934011
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_135K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_135K.txt,0.170744180679,5624,399.576913118
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_140K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_140K.txt,0.164134025574,5569,412.922752857
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_145K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_145K.txt,0.160974979401,5564,445.711445808
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_150K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_150K.txt,0.179445028305,5559,445.947973013
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_155K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_155K.txt,0.181324005127,5557,458.864680052
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_160K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_160K.txt,0.175811052322,5595,472.544950962
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_165K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_165K.txt,0.181226968765,5569,490.30855298
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_170K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_170K.txt,0.192612886429,5577,512.726907969
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_175K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_175K.txt,0.21119093895,5599,525.405990839
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_180K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_180K.txt,0.196344852448,5614,534.194778919
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_185K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_185K.txt,0.225207805634,5598,558.445582867
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_190K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_190K.txt,0.216907978058,5590,588.085740089
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_195K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_195K.txt,0.23898601532,5594,604.600908041
cmine,0.04,0.5,0.4,./../dataset/cabs120k08/cabs120k08_200K.txt,././outputs/cabs120k08/cabs120k08_0.04_0.5_0.4_cabs120k08_200K.txt,0.230237960815,5588,589.373485088
